"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01119","SPRINGFIELD, MA","H",3696,"H",32179,"H",135162,162,"SPRINGFIELD","MA","HAMPDEN"
"01128","SPRINGFIELD, MA","G",824,"G",6625,"G",26415,40,"SPRINGFIELD","MA","HAMPDEN"
"01129","SPRINGFIELD, MA","G",1716,"G",12559,"G",50701,138,"SPRINGFIELD","MA","HAMPDEN"
"01138","SPRINGFIELD, MA","G",5,"H",70,"H",341,3,"SPRINGFIELD","MA","HAMPDEN"
"01144","SPRINGFIELD, MA","J",1296,"H",34577,"H",123151,42,"SPRINGFIELD","MA","HAMPDEN"
"01151","INDIAN ORCHARD, MA","G",1770,"G",31544,"G",119022,131,"INDIAN ORCHARD","MA","HAMPDEN"
"01199","SPRINGFIELD, MA","J",8423,"J",119138,"J",525665,7,"SPRINGFIELD","MA","HAMPDEN"
"01201","PITTSFIELD, MA","G",22546,"G",364612,"G",1415021,1267,"PITTSFIELD","MA","BERKSHIRE"
"01202","PITTSFIELD, MA","H",238,"J",6093,"H",20541,18,"PITTSFIELD","MA","BERKSHIRE"
"01220","ADAMS, MA","G",1541,"G",18399,"G",74329,155,"ADAMS","MA","BERKSHIRE"
"01222","ASHLEY FALLS, MA","H",49,"J",631,"J",2761,13,"ASHLEY FALLS","MA","BERKSHIRE"
"01223","BECKET, MA","H",192,"H",2359,"H",14812,44,"BECKET","MA","BERKSHIRE"
"01225","CHESHIRE, MA","H",429,"H",5679,"H",25334,55,"CHESHIRE","MA","BERKSHIRE"
"01226","DALTON, MA","G",1313,"H",23326,"H",80824,120,"DALTON","MA","BERKSHIRE"
"01227","DALTON, MA","G",36,"H",229,"H",1407,7,"DALTON","MA","BERKSHIRE"
"01229","GLENDALE, MA","H",41,"J",1203,"J",8968,4,"GLENDALE","MA","BERKSHIRE"
"01230","GREAT BARRINGTON, MA","G",4849,"G",59765,"G",250741,423,"GREAT BARRINGTON","MA","BERKSHIRE"
"01235","HINSDALE, MA","G",155,"G",1669,"G",8851,49,"HINSDALE","MA","BERKSHIRE"
"01236","HOUSATONIC, MA","H",392,"H",4406,"H",18131,44,"HOUSATONIC","MA","BERKSHIRE"
"01237","LANESBOROUGH, MA","H",1303,"H",10765,"G",41634,103,"LANESBOROUGH","MA","BERKSHIRE"
"01238","LEE, MA","G",2701,"G",28774,"G",143335,239,"LEE","MA","BERKSHIRE"
"01240","LENOX, MA","G",3254,"G",36653,"G",163357,234,"LENOX","MA","BERKSHIRE"
"01242","LENOX DALE, MA","H",105,"H",1144,"H",5979,13,"LENOX DALE","MA","BERKSHIRE"
"01243","MIDDLEFIELD, MA","H",23,"J",198,"J",820,6,"MIDDLEFIELD","MA","HAMPSHIRE"
"01244","MILL RIVER, MA","J",81,"J",1054,"J",4317,5,"MILL RIVER","MA","BERKSHIRE"
"01245","MONTEREY, MA","H",93,"J",777,"J",3491,16,"MONTEREY","MA","BERKSHIRE"
"01247","NORTH ADAMS, MA","G",3847,"G",41373,"G",168396,320,"NORTH ADAMS","MA","BERKSHIRE"
"01253","OTIS, MA","J",140,"H",1317,"H",5806,24,"OTIS","MA","BERKSHIRE"
"01254","RICHMOND, MA","G",53,"G",552,"G",3312,22,"RICHMOND","MA","BERKSHIRE"
"01255","SANDISFIELD, MA","J",151,"J",1798,"J",8246,21,"SANDISFIELD","MA","BERKSHIRE"
"01256","SAVOY, MA","J",17,"G",163,"H",676,7,"SAVOY","MA","BERKSHIRE"
"01257","SHEFFIELD, MA","G",1127,"H",14833,"H",64182,112,"SHEFFIELD","MA","BERKSHIRE"
"01258","SOUTH EGREMONT, MA","H",492,"H",3313,"H",10316,30,"SOUTH EGREMONT","MA","BERKSHIRE"
"01259","SOUTHFIELD, MA","G",83,"H",1025,"G",6133,30,"SOUTHFIELD","MA","BERKSHIRE"
"01260","SOUTH LEE, MA","H",318,"H",5514,"H",20634,13,"SOUTH LEE","MA","BERKSHIRE"
"01262","STOCKBRIDGE, MA","G",1106,"G",12765,"G",56146,84,"STOCKBRIDGE","MA","BERKSHIRE"
"01266","WEST STOCKBRIDGE, MA","G",191,"H",2212,"H",12386,52,"WEST STOCKBRIDGE","MA","BERKSHIRE"
"01267","WILLIAMSTOWN, MA","H",3190,"H",52893,"H",214976,190,"WILLIAMSTOWN","MA","BERKSHIRE"
"01270","WINDSOR, MA","J",39,"H",410,"J",2199,13,"WINDSOR","MA","BERKSHIRE"
"01301","GREENFIELD, MA","G",7738,"G",88706,"G",375291,547,"GREENFIELD","MA","FRANKLIN"
"01302","GREENFIELD, MA","G",290,"G",4528,"H",17857,12,"GREENFIELD","MA","FRANKLIN"
"01330","ASHFIELD, MA","H",101,"G",710,"G",3335,27,"ASHFIELD","MA","FRANKLIN"
"01331","ATHOL, MA","G",3428,"G",34809,"G",141660,232,"ATHOL","MA","WORCESTER"
"01337","BERNARDSTON, MA","G",378,"G",3797,"G",17128,48,"BERNARDSTON","MA","FRANKLIN"
"01338","BUCKLAND, MA","H",49,"H",542,"H",2119,10,"BUCKLAND","MA","FRANKLIN"
"01339","CHARLEMONT, MA","J",472,"J",3112,"J",15985,33,"CHARLEMONT","MA","FRANKLIN"
"01340","COLRAIN, MA","H",138,"H",1882,"G",6563,17,"COLRAIN","MA","FRANKLIN"
"01341","CONWAY, MA","G",119,"G",1451,"G",6359,27,"CONWAY","MA","FRANKLIN"
"01342","DEERFIELD, MA","H",899,"H",13054,"H",56715,31,"DEERFIELD","MA","FRANKLIN"
"01344","ERVING, MA","H",250,"J",3221,"H",13663,20,"ERVING","MA","FRANKLIN"
"01346","HEATH, MA","J",22,"J",95,"J",396,3,"HEATH","MA","FRANKLIN"
"01349","MILLERS FALLS, MA","J",52,"G",427,"G",1943,10,"MILLERS FALLS","MA","FRANKLIN"
"01351","MONTAGUE, MA","G",98,"G",847,"G",3846,28,"MONTAGUE","MA","FRANKLIN"
"01354","GILL, MA","G",348,"G",2438,"G",11414,21,"GILL","MA","FRANKLIN"
"01355","NEW SALEM, MA","H",89,"G",682,"H",3270,18,"NEW SALEM","MA","FRANKLIN"
"01360","NORTHFIELD, MA","H",734,"G",10465,"H",42452,44,"NORTHFIELD","MA","FRANKLIN"
"01364","ORANGE, MA","G",1161,"G",13023,"G",52949,130,"ORANGE","MA","FRANKLIN"
"01366","PETERSHAM, MA","H",136,"H",1191,"H",4900,30,"PETERSHAM","MA","WORCESTER"
"01367","ROWE, MA","H",45,"J",1520,"J",5083,5,"ROWE","MA","FRANKLIN"
"01368","ROYALSTON, MA","J",52,"H",405,"H",1751,10,"ROYALSTON","MA","WORCESTER"
"01370","SHELBURNE FALLS, MA","H",609,"H",5588,"H",23544,127,"SHELBURNE FALLS","MA","FRANKLIN"
"01373","SOUTH DEERFIELD, MA","G",3151,"G",35568,"G",147785,148,"SOUTH DEERFIELD","MA","FRANKLIN"
"01375","SUNDERLAND, MA","H",575,"H",12965,"H",56983,48,"SUNDERLAND","MA","FRANKLIN"
"01376","TURNERS FALLS, MA","G",1319,"G",16185,"G",69904,97,"TURNERS FALLS","MA","FRANKLIN"
"01378","WARWICK, MA","J",6,"H",60,"H",272,3,"WARWICK","MA","FRANKLIN"
"01379","WENDELL, MA","G",22,"G",106,"H",499,10,"WENDELL","MA","FRANKLIN"
"01420","FITCHBURG, MA","G",10364,"G",116917,"G",507371,783,"FITCHBURG","MA","WORCESTER"
"01430","ASHBURNHAM, MA","G",555,"H",6258,"H",27801,91,"ASHBURNHAM","MA","WORCESTER"
"01431","ASHBY, MA","H",224,"H",3194,"H",14189,60,"ASHBY","MA","MIDDLESEX"
"01432","AYER, MA","G",4132,"G",76951,"G",312021,216,"AYER","MA","MIDDLESEX"
"01434","DEVENS, MA","G",4918,"G",117217,"G",489278,78,"DEVENS","MA","MIDDLESEX"
"01436","BALDWINVILLE, MA","G",490,"H",8067,"H",34420,33,"BALDWINVILLE","MA","WORCESTER"
"01438","EAST TEMPLETON, MA","H",222,"H",2796,"H",12268,14,"EAST TEMPLETON","MA","WORCESTER"
"01440","GARDNER, MA","G",7079,"G",91443,"G",376115,430,"GARDNER","MA","WORCESTER"
"01441","WESTMINSTER, MA","J",700,"J",14519,"J",59012,4,"WESTMINSTER","MA","WORCESTER"
"01450","GROTON, MA","G",1923,"G",24275,"G",106336,220,"GROTON","MA","MIDDLESEX"
"01451","HARVARD, MA","H",810,"G",12698,"G",57562,148,"HARVARD","MA","WORCESTER"
"01452","HUBBARDSTON, MA","H",331,"H",4372,"H",18645,55,"HUBBARDSTON","MA","WORCESTER"
"01453","LEOMINSTER, MA","G",18322,"G",222239,"G",919143,1178,"LEOMINSTER","MA","WORCESTER"
"01460","LITTLETON, MA","G",6243,"G",113728,"G",475335,315,"LITTLETON","MA","MIDDLESEX"
"01462","LUNENBURG, MA","G",2172,"G",28863,"G",126716,234,"LUNENBURG","MA","WORCESTER"
"01463","PEPPERELL, MA","G",1887,"G",24850,"G",113124,235,"PEPPERELL","MA","MIDDLESEX"
"01464","SHIRLEY, MA","G",1571,"G",22677,"G",101094,140,"SHIRLEY","MA","MIDDLESEX"
"01467","STILL RIVER, MA","G",4,"J",87,"J",495,3,"STILL RIVER","MA","WORCESTER"
"01468","TEMPLETON, MA","G",334,"G",4321,"G",19322,57,"TEMPLETON","MA","WORCESTER"
"01469","TOWNSEND, MA","H",1363,"H",13610,"H",57772,119,"TOWNSEND","MA","MIDDLESEX"
"01471","GROTON, MA","J",360,"J",7120,"J",24156,3,"GROTON","MA","MIDDLESEX"
"01472","WEST GROTON, MA","H",147,"H",1165,"H",5198,6,"WEST GROTON","MA","MIDDLESEX"
"01473","WESTMINSTER, MA","G",1530,"G",20022,"G",86862,191,"WESTMINSTER","MA","WORCESTER"
"01474","WEST TOWNSEND, MA","J",106,"G",1537,"G",6568,27,"WEST TOWNSEND","MA","MIDDLESEX"
"01475","WINCHENDON, MA","G",1083,"G",10372,"G",44432,149,"WINCHENDON","MA","WORCESTER"
"01501","AUBURN, MA","G",12145,"G",184797,"G",744886,628,"AUBURN","MA","WORCESTER"
"01503","BERLIN, MA","G",479,"G",5189,"G",28248,103,"BERLIN","MA","WORCESTER"
"01504","BLACKSTONE, MA","G",775,"G",9794,"G",43895,147,"BLACKSTONE","MA","WORCESTER"
"01505","BOYLSTON, MA","G",1196,"G",16732,"G",73338,124,"BOYLSTON","MA","WORCESTER"
"01506","BROOKFIELD, MA","G",304,"G",2349,"G",10097,52,"BROOKFIELD","MA","WORCESTER"
"01507","CHARLTON, MA","G",2770,"G",38224,"G",170194,255,"CHARLTON","MA","WORCESTER"
"01508","CHARLTON CITY, MA","H",334,"G",3033,"G",12860,26,"CHARLTON CITY","MA","WORCESTER"
"01509","CHARLTON DEPOT, MA","G",8,"J",135,"J",823,4,"CHARLTON DEPOT","MA","WORCESTER"
"01510","CLINTON, MA","G",3685,"G",52074,"H",278016,267,"CLINTON","MA","WORCESTER"
"01515","EAST BROOKFIELD, MA","G",384,"H",4384,"H",19324,47,"EAST BROOKFIELD","MA","WORCESTER"
"01516","DOUGLAS, MA","G",842,"H",9825,"H",48677,125,"DOUGLAS","MA","WORCESTER"
"01518","FISKDALE, MA","H",612,"H",6996,"H",27850,63,"FISKDALE","MA","WORCESTER"
"01519","GRAFTON, MA","J",937,"H",10671,"H",48983,109,"GRAFTON","MA","WORCESTER"
"01520","HOLDEN, MA","G",2767,"G",32941,"G",135960,284,"HOLDEN","MA","WORCESTER"
"01521","HOLLAND, MA","H",118,"G",995,"G",5007,31,"HOLLAND","MA","HAMPDEN"
"01522","JEFFERSON, MA","H",159,"G",1841,"G",8578,46,"JEFFERSON","MA","WORCESTER"
"01523","LANCASTER, MA","G",1658,"G",24327,"G",105892,138,"LANCASTER","MA","WORCESTER"
"01524","LEICESTER, MA","H",1128,"H",11084,"H",41738,118,"LEICESTER","MA","WORCESTER"
"01525","LINWOOD, MA","J",82,"H",826,"H",3540,9,"LINWOOD","MA","WORCESTER"
"01526","MANCHAUG, MA","G",44,"G",319,"G",1604,11,"MANCHAUG","MA","WORCESTER"
"01527","MILLBURY, MA","G",4454,"G",48693,"G",201448,316,"MILLBURY","MA","WORCESTER"
"01529","MILLVILLE, MA","G",144,"H",1985,"G",7813,33,"MILLVILLE","MA","WORCESTER"
"01531","NEW BRAINTREE, MA","G",50,"J",438,"H",2507,18,"NEW BRAINTREE","MA","WORCESTER"
"01532","NORTHBOROUGH, MA","G",7576,"G",136894,"G",531044,536,"NORTHBOROUGH","MA","WORCESTER"
"01534","NORTHBRIDGE, MA","G",840,"G",12130,"G",46884,85,"NORTHBRIDGE","MA","WORCESTER"
"01535","NORTH BROOKFIELD, MA","H",896,"H",11477,"H",47218,87,"NORTH BROOKFIELD","MA","WORCESTER"
"01536","NORTH GRAFTON, MA","H",2374,"H",38903,"H",164323,182,"NORTH GRAFTON","MA","WORCESTER"
"01537","NORTH OXFORD, MA","H",954,"G",13658,"G",57585,73,"NORTH OXFORD","MA","WORCESTER"
"01538","NORTH UXBRIDGE, MA","J",57,"J",395,"J",1528,10,"NORTH UXBRIDGE","MA","WORCESTER"
"01540","OXFORD, MA","H",4573,"H",104719,"H",320483,235,"OXFORD","MA","WORCESTER"
"01541","PRINCETON, MA","H",1085,"H",6609,"G",26331,74,"PRINCETON","MA","WORCESTER"
"01542","ROCHDALE, MA","J",527,"H",8667,"H",33902,37,"ROCHDALE","MA","WORCESTER"
"01543","RUTLAND, MA","H",1057,"H",13083,"H",57578,140,"RUTLAND","MA","WORCESTER"
"01545","SHREWSBURY, MA","G",14886,"G",200813,"G",797805,878,"SHREWSBURY","MA","WORCESTER"
"01550","SOUTHBRIDGE, MA","G",5221,"G",68921,"G",279823,326,"SOUTHBRIDGE","MA","WORCESTER"
"01560","SOUTH GRAFTON, MA","H",559,"H",5527,"H",22757,74,"SOUTH GRAFTON","MA","WORCESTER"
"01561","SOUTH LANCASTER, MA","J",351,"H",3837,"H",16823,13,"SOUTH LANCASTER","MA","WORCESTER"
"01562","SPENCER, MA","G",2590,"G",36981,"G",151286,219,"SPENCER","MA","WORCESTER"
"01564","STERLING, MA","G",2364,"G",31483,"G",138866,210,"STERLING","MA","WORCESTER"
"01566","STURBRIDGE, MA","G",3958,"G",43208,"G",179149,271,"STURBRIDGE","MA","WORCESTER"
"01568","UPTON, MA","G",663,"G",7822,"G",37799,173,"UPTON","MA","WORCESTER"
"01569","UXBRIDGE, MA","G",3799,"G",49697,"G",224702,305,"UXBRIDGE","MA","WORCESTER"
"01570","WEBSTER, MA","H",6540,"H",93902,"H",368895,364,"WEBSTER","MA","WORCESTER"
"01571","DUDLEY, MA","H",2611,"H",26516,"H",121976,177,"DUDLEY","MA","WORCESTER"
"01581","WESTBOROUGH, MA","G",30063,"G",619661,"G",2445537,955,"WESTBOROUGH","MA","WORCESTER"
"01583","WEST BOYLSTON, MA","H",4675,"G",53352,"G",216827,271,"WEST BOYLSTON","MA","WORCESTER"
"01585","WEST BROOKFIELD, MA","G",775,"G",8967,"G",37421,83,"WEST BROOKFIELD","MA","WORCESTER"
"01588","WHITINSVILLE, MA","G",3190,"G",39964,"G",160639,257,"WHITINSVILLE","MA","WORCESTER"
"01590","SUTTON, MA","H",2999,"G",37323,"H",170356,229,"SUTTON","MA","WORCESTER"
"01601","WORCESTER, MA","J",741,"H",11887,"H",48134,14,"WORCESTER","MA","WORCESTER"
"01602","WORCESTER, MA","G",2706,"G",27281,"G",119233,313,"WORCESTER","MA","WORCESTER"
"01603","WORCESTER, MA","G",7333,"G",79279,"G",333513,430,"WORCESTER","MA","WORCESTER"
"01604","WORCESTER, MA","G",12170,"H",230856,"H",973529,744,"WORCESTER","MA","WORCESTER"
"01605","WORCESTER, MA","H",19786,"H",369657,"H",1427741,599,"WORCESTER","MA","WORCESTER"
"01606","WORCESTER, MA","G",9380,"G",133591,"G",533383,456,"WORCESTER","MA","WORCESTER"
"01607","WORCESTER, MA","H",4087,"H",46228,"H",200418,149,"WORCESTER","MA","WORCESTER"
"01608","WORCESTER, MA","G",12371,"G",279506,"G",1044940,512,"WORCESTER","MA","WORCESTER"
"01609","WORCESTER, MA","H",10134,"H",111887,"H",463223,485,"WORCESTER","MA","WORCESTER"
"01610","WORCESTER, MA","G",9592,"G",107572,"G",444545,371,"WORCESTER","MA","WORCESTER"
"01611","CHERRY VALLEY, MA","J",249,"H",3218,"H",13481,32,"CHERRY VALLEY","MA","WORCESTER"
"01612","PAXTON, MA","J",845,"H",7827,"H",33382,82,"PAXTON","MA","WORCESTER"
"01613","WORCESTER, MA","G",187,"G",1685,"G",6689,18,"WORCESTER","MA","WORCESTER"
"01615","WORCESTER, MA","G",868,"H",17798,"H",55784,11,"WORCESTER","MA","WORCESTER"
"01653","WORCESTER, MA","J",1970,"J",96741,"J",248714,5,"WORCESTER","MA","WORCESTER"
"01655","WORCESTER, MA","J",177,"H",1915,"H",7306,10,"WORCESTER","MA","WORCESTER"
"01701","FRAMINGHAM, MA","G",28173,"H",722462,"G",2949826,1197,"FRAMINGHAM","MA","MIDDLESEX"
"01702","FRAMINGHAM, MA","G",12859,"G",275523,"G",1087345,930,"FRAMINGHAM","MA","MIDDLESEX"
"01703","FRAMINGHAM, MA","H",27,"H",359,"H",1805,5,"FRAMINGHAM","MA","MIDDLESEX"
"01704","FRAMINGHAM, MA","J",12,"J",91,"J",394,4,"FRAMINGHAM","MA","MIDDLESEX"
"01718","ACTON, MA","J",7,"H",90,"H",488,4,"ACTON","MA","MIDDLESEX"
"01719","BOXBOROUGH, MA","G",3309,"G",122473,"G",457381,144,"BOXBOROUGH","MA","MIDDLESEX"
"01720","ACTON, MA","G",10629,"H",280721,"H",896855,705,"ACTON","MA","MIDDLESEX"
"01721","ASHLAND, MA","G",4438,"G",58551,"G",249566,438,"ASHLAND","MA","MIDDLESEX"
"01730","BEDFORD, MA","G",23516,"G",860905,"G",2942937,549,"BEDFORD","MA","MIDDLESEX"
"01731","HANSCOM AFB, MA","H",168,"H",4362,"H",17435,16,"HANSCOM AFB","MA","MIDDLESEX"
"01740","BOLTON, MA","G",996,"G",20644,"G",78240,126,"BOLTON","MA","WORCESTER"
"01741","CARLISLE, MA","G",556,"G",9944,"G",43659,105,"CARLISLE","MA","MIDDLESEX"
"01742","CONCORD, MA","G",11358,"G",232798,"G",963729,783,"CONCORD","MA","MIDDLESEX"
"01745","FAYVILLE, MA","H",348,"G",4533,"G",19147,13,"FAYVILLE","MA","WORCESTER"
"01746","HOLLISTON, MA","G",5337,"G",106712,"G",456635,410,"HOLLISTON","MA","MIDDLESEX"
"01747","HOPEDALE, MA","H",2097,"H",36418,"H",167064,175,"HOPEDALE","MA","WORCESTER"
